"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","cum_infl","salary_adj","log_salary_adj","year"
2023,"MI","CT","ML Engineer",30000,"USD",30000,"US",100,"US","S",1.16816997383745,25681.1942370422,10.1535142612803,3
2023,"MI","CT","ML Engineer",25500,"USD",25500,"US",100,"US","S",1.16816997383745,21829.0151014859,9.99099533178254,3
2023,"SE","FT","Applied Scientist",222200,"USD",222200,"US",0,"US","L",1.16816997383745,190212.045315692,12.1558947568237,3
2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L",1.16816997383745,116421.413874591,11.6649717653542,3
2023,"SE","FT","Data Scientist",147100,"USD",147100,"US",0,"US","M",1.16816997383745,125923.455742297,11.7434295072255,3
2023,"SE","FT","Data Scientist",90700,"USD",90700,"US",0,"US","M",1.16816997383745,77642.8105766575,11.2598742367392,3
2023,"SE","FT","Data Analyst",130000,"USD",130000,"US",100,"US","M",1.16816997383745,111285.175027183,11.6198513300737,3
2023,"SE","FT","Data Analyst",100000,"USD",100000,"US",100,"US","M",1.16816997383745,85603.9807901406,11.3574870656062,3
2023,"EN","FT","Applied Scientist",213660,"USD",213660,"US",0,"US","L",1.16816997383745,182901.465356214,12.1167028461359,3
2023,"EN","FT","Applied Scientist",130760,"USD",130760,"US",0,"US","L",1.16816997383745,111935.765281188,11.6256804614742,3
2023,"SE","FT","Data Modeler",147100,"USD",147100,"US",0,"US","M",1.16816997383745,125923.455742297,11.7434295072255,3
2023,"SE","FT","Data Modeler",90700,"USD",90700,"US",0,"US","M",1.16816997383745,77642.8105766575,11.2598742367392,3
2023,"SE","FT","Data Scientist",170000,"USD",170000,"US",0,"US","M",1.16816997383745,145526.767343239,11.8881153166684,3
2023,"SE","FT","Data Scientist",150000,"USD",150000,"US",0,"US","M",1.16816997383745,128405.971185211,11.7629521737144,3
2023,"MI","FT","Data Analyst",150000,"USD",150000,"US",100,"US","M",1.16816997383745,128405.971185211,11.7629521737144,3
2023,"MI","FT","Data Analyst",110000,"USD",110000,"US",100,"US","M",1.16816997383745,94164.3788691547,11.4527972454106,3
2023,"SE","FT","Research Engineer",275000,"USD",275000,"DE",0,"DE","M",1.15961980677258,237146.691005021,12.3764341780354,3
2023,"SE","FT","Research Engineer",174000,"USD",174000,"DE",0,"DE","M",1.15961980677258,150049.179035904,11.9187183795833,3
2023,"SE","FT","Analytics Engineer",230000,"USD",230000,"GB",100,"GB","M",1.1719396706794,196255.836161485,12.1871743736049,3
2023,"SE","FT","Analytics Engineer",143200,"USD",143200,"GB",100,"GB","M",1.1719396706794,122190.590166629,11.7133373192083,3
2023,"SE","FT","Business Intelligence Engineer",225000,"USD",225000,"US",0,"US","M",1.16816997383745,192608.956777816,12.1684172818226,3
2023,"SE","FT","Business Intelligence Engineer",156400,"USD",156400,"US",0,"US","M",1.16816997383745,133884.62595578,11.8047337077294,3
2023,"SE","FT","Machine Learning Engineer",200000,"USD",200000,"US",0,"US","M",1.16816997383745,171207.961580281,12.0506342461662,3
2023,"SE","FT","Machine Learning Engineer",130000,"USD",130000,"US",0,"US","M",1.16816997383745,111285.175027183,11.6198513300737,3
2023,"SE","FT","Data Engineer",253200,"USD",253200,"US",0,"US","M",1.16816997383745,216749.279360636,12.2864965698882,3
2023,"SE","FT","Data Engineer",90700,"USD",90700,"US",0,"US","M",1.16816997383745,77642.8105766575,11.2598742367392,3
2023,"SE","FT","Computer Vision Engineer",342810,"USD",342810,"US",0,"US","M",1.16816997383745,293459.006546681,12.5894932374449,3
2023,"SE","FT","Computer Vision Engineer",184590,"USD",184590,"US",0,"US","M",1.16816997383745,158016.388140521,11.9704540290387,3
2023,"MI","FT","Data Engineer",162500,"USD",162500,"US",0,"US","M",1.16816997383745,139106.468783978,11.8429948813879,3
2023,"MI","FT","Data Engineer",130000,"USD",130000,"US",0,"US","M",1.16816997383745,111285.175027183,11.6198513300737,3
2023,"MI","FT","Data Analyst",105380,"USD",105380,"US",0,"US","M",1.16816997383745,90209.4749566502,11.4098897443993,3
2023,"MI","FT","Data Analyst",64500,"USD",64500,"US",0,"US","M",1.16816997383745,55214.5676096407,10.9189821034199,3
2023,"EN","FT","Applied Scientist",204620,"USD",204620,"US",0,"US","L",1.16816997383745,175162.865492786,12.0734714800689,3
2023,"EN","FT","Applied Scientist",110680,"USD",110680,"US",0,"US","L",1.16816997383745,94746.4859385276,11.4589600345369,3
2023,"SE","FT","Data Engineer",270703,"USD",270703,"US",0,"US","M",1.16816997383745,231732.544118334,12.353339158556,3
2023,"SE","FT","Data Engineer",221484,"USD",221484,"US",0,"US","M",1.16816997383745,189599.120813235,12.1526672317313,3
2023,"SE","FT","Data Scientist",212750,"USD",212750,"US",100,"US","M",1.16816997383745,182122.469131024,12.1124346470716,3
2023,"SE","FT","Data Scientist",185000,"USD",185000,"US",100,"US","M",1.16816997383745,158367.36446176,11.9726727046965,3
2023,"SE","FT","Data Scientist",262000,"USD",262000,"US",100,"US","M",1.16816997383745,224282.429670168,12.3206613833793,3
2023,"SE","FT","Data Scientist",245000,"USD",245000,"US",100,"US","M",1.16816997383745,209729.752935844,12.2535750901629,3
2023,"SE","FT","Data Scientist",275300,"USD",275300,"US",100,"US","M",1.16816997383745,235667.759115257,12.3701782917667,3
2023,"SE","FT","Data Scientist",183500,"USD",183500,"US",100,"US","M",1.16816997383745,157083.304749908,11.9645315471128,3
2023,"SE","FT","Data Scientist",218500,"USD",218500,"US",100,"US","M",1.16816997383745,187044.698026457,12.1391028941538,3
2023,"SE","FT","Data Scientist",199098,"USD",199098,"US",100,"US","M",1.16816997383745,170435.813673554,12.0461140454344,3
2023,"SE","FT","Data Engineer",203300,"USD",203300,"US",100,"US","M",1.16816997383745,174032.892946356,12.0669996002525,3
2023,"SE","FT","Data Engineer",123600,"USD",123600,"US",100,"US","M",1.16816997383745,105806.520256614,11.5693674246417,3
2023,"SE","FT","Research Engineer",189110,"USD",189110,"US",0,"US","M",1.16816997383745,161885.688072235,11.9946457359573,3
2023,"SE","FT","Research Engineer",139000,"USD",139000,"US",0,"US","M",1.16816997383745,118989.533298295,11.6867908127488,3
2023,"EX","FT","Data Scientist",258750,"USD",258750,"US",0,"US","M",1.16816997383745,221500.300294489,12.3081792241977,3
2023,"EX","FT","Data Scientist",185000,"USD",185000,"US",0,"US","M",1.16816997383745,158367.36446176,11.9726727046965,3
2023,"SE","FT","Data Engineer",231500,"USD",231500,"US",100,"US","M",1.16816997383745,198173.215529175,12.1968967531444,3
2023,"SE","FT","Data Engineer",166000,"USD",166000,"US",100,"US","M",1.16816997383745,142102.608111633,11.8643046679747,3
2023,"SE","FT","Data Scientist",172500,"USD",172500,"US",100,"US","M",1.16816997383745,147666.866862993,11.9027141160896,3
2023,"SE","FT","Data Scientist",110500,"USD",110500,"US",100,"US","M",1.16816997383745,94592.3987731054,11.457332400576,3
2023,"SE","FT","Data Engineer",238000,"USD",238000,"US",0,"US","M",1.16816997383745,203737.474280535,12.2245875532896,3
2023,"SE","FT","Data Engineer",176000,"USD",176000,"US",0,"US","M",1.16816997383745,150663.006190647,11.9228008746563,3
2023,"SE","FT","Data Engineer",237000,"USD",237000,"US",100,"US","M",1.16816997383745,202881.434472633,12.2203770207533,3
2023,"SE","FT","Data Engineer",201450,"USD",201450,"US",100,"US","M",1.16816997383745,172449.219301738,12.0578580912555,3
2023,"SE","FT","Applied Scientist",309400,"USD",309400,"US",0,"US","L",1.16816997383745,264858.716564695,12.4869518177571,3
2023,"SE","FT","Applied Scientist",159100,"USD",159100,"US",0,"US","L",1.16816997383745,136195.933437114,11.8218498149619,3
2023,"SE","FT","Data Engineer",115000,"USD",115000,"US",0,"US","M",1.16816997383745,98444.5779086617,11.4972490079814,3
2023,"SE","FT","Data Engineer",81500,"USD",81500,"US",0,"US","M",1.16816997383745,69767.2443439646,11.152919899865,3
2023,"SE","FT","Data Scientist",237000,"USD",237000,"US",100,"US","M",1.16816997383745,202881.434472633,12.2203770207533,3
2023,"SE","FT","Data Scientist",201450,"USD",201450,"US",100,"US","M",1.16816997383745,172449.219301738,12.0578580912555,3
2023,"SE","FT","Computer Vision Engineer",280000,"USD",280000,"US",0,"US","M",1.16816997383745,239691.146212394,12.3871064827874,3
2023,"SE","FT","Computer Vision Engineer",210000,"USD",210000,"US",0,"US","M",1.16816997383745,179768.359659295,12.0994244103356,3
2023,"SE","FT","Data Architect",280100,"USD",280100,"US",100,"US","M",1.16816997383745,239776.750193184,12.3874635618842,3
2023,"SE","FT","Data Architect",168100,"USD",168100,"US",100,"US","M",1.16816997383745,143900.291708226,11.8768759200327,3
2023,"SE","FT","Data Engineer",193500,"USD",193500,"US",100,"US","M",1.16816997383745,165643.702828922,12.017594392088,3
2023,"SE","FT","Data Engineer",139000,"USD",139000,"US",100,"US","M",1.16816997383745,118989.533298295,11.6867908127488,3
2023,"SE","FT","Machine Learning Engineer",150000,"USD",150000,"PT",100,"US","M",1.16816997383745,128405.971185211,11.7629521737144,3
2023,"MI","FT","Applied Machine Learning Engineer",65000,"EUR",69751,"IN",100,"DE","S",1.15961980677258,60149.8867065136,11.0045948378851,3
2023,"SE","FT","Business Intelligence Engineer",185900,"USD",185900,"US",0,"US","M",1.16816997383745,159137.800288871,11.9775257743456,3
